Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
1.53,5,0.805846,0.830587,0.631113,0.204626,-0.00515257,0
1.54,5,0.803759,0.821738,0.629123,0.205884,-0.0132688,0
1.55,5,0.806912,0.838667,0.629436,0.207143,0.00208751,0
1.56,5,0.805047,0.834211,0.628963,0.208401,-0.00315348,0
1.57,5,0.814014,0.840768,0.629243,0.209659,0.0018656,0
1.58,5,0.81377,0.829846,0.627898,0.210915,-0.00896696,0
1.59,5,0.81616,0.840349,0.627934,0.212171,0.000243388,0
1.6,5,0.815801,0.838613,0.627576,0.213426,-0.00238924,0
1.61,5,0.822147,0.84267,0.62763,0.214681,0.00035854,0
1.62,5,0.818387,0.836267,0.626678,0.215935,-0.00634578,0
1.63,5,0.819482,0.848191,0.627242,0.217189,0.00376007,0
1.64,5,0.816097,0.844426,0.627078,0.218443,-0.00109528,0
1.65,5,0.813223,0.850669,0.627585,0.219699,0.00338479,0
1.66,5,0.81398,0.851846,0.628017,0.220955,0.00287464,0
1.67,5,0.808199,0.849356,0.627903,0.22221,-0.000757632,0
1.68,5,0.805873,0.858019,0.62877,0.223468,0.00578129,0
1.69,5,0.801457,0.856172,0.629119,0.224726,0.00232625,0
1.7,5,0.803946,0.860183,0.629781,0.225986,0.00441578,0
1.71,5,0.803335,0.854164,0.629408,0.227245,-0.00248897,0
1.72,5,0.805582,0.858615,0.6295,0.228504,0.000611228,0
1.73,5,0.806927,0.856677,0.629163,0.229762,-0.00224752,0
1.74,5,0.808099,0.858636,0.628961,0.23102,-0.00134487,0
1.75,5,0.803893,0.85989,0.628785,0.232277,-0.00117215,0
1.76,5,0.809652,0.867158,0.629416,0.233536,0.00420576,0
1.77,5,0.803604,0.857587,0.628552,0.234793,-0.00575869,0
1.78,5,0.800455,0.871559,0.629459,0.236052,0.00604777,0
1.79,5,0.805114,0.870394,0.629932,0.237312,0.00314962,0
1.8,5,0.806572,0.863145,0.629233,0.238571,-0.00465891,0
1.81,5,0.808566,0.867384,0.629014,0.239829,-0.00145863,0
1.82,5,0.807288,0.867808,0.628715,0.241086,-0.00199331,0
1.83,5,0.813327,0.872528,0.628907,0.242344,0.00127731,0
1.84,5,0.81362,0.865562,0.628001,0.2436,-0.00603893,0
1.85,5,0.812888,0.87252,0.627957,0.244856,-0.00029241,0
1.86,5,0.812301,0.874911,0.628067,0.246112,0.000731787,0
1.87,5,0.806572,0.87611,0.628155,0.247368,0.00058706,0
1.88,5,0.805156,0.883369,0.629014,0.248626,0.00572858,0
1.89,5,0.808489,0.880528,0.629227,0.249885,0.00141645,0
1.9,5,0.810489,0.876536,0.628727,0.251142,-0.00333288,0
1.91,5,0.815505,0.878826,0.628427,0.252399,-0.00200017,0
1.92,5,0.824562,0.876312,0.627674,0.253654,-0.00501648,0
1.93,5,0.821882,0.872166,0.626316,0.254907,-0.00905638,0
1.94,5,0.823611,0.885558,0.626718,0.25616,0.00267991,0
1.95,5,0.810768,0.882142,0.626458,0.257413,-0.00172927,0
1.96,5,0.814577,0.899898,0.628385,0.25867,0.0128432,0
1.97,5,0.820321,0.883931,0.627814,0.259926,-0.00380874,0
1.98,5,0.823064,0.882387,0.626952,0.26118,-0.00574489,0
1.99,5,0.820629,0.886231,0.62654,0.262433,-0.00274215,0
2,5,0.823384,0.893027,0.626906,0.263687,0.00243458,0
2.01,5,0.828277,0.888677,0.626492,0.26494,-0.00275483,0
2.02,5,0.82733,0.887057,0.625758,0.266191,-0.004893,0
2.03,5,0.835347,0.894291,0.625901,0.267443,0.000947204,0
2.04,5,0.832636,0.885373,0.624698,0.268692,-0.0080176,0
2.05,5,0.835862,0.897758,0.625105,0.269942,0.00271097,0
2.06,5,0.837828,0.892587,0.624621,0.271192,-0.00322534,0
2.07,5,0.838482,0.8948,0.624326,0.27244,-0.00196604,0
2.08,5,0.835078,0.897262,0.624228,0.273689,-0.000654238,0
2.09,5,0.835151,0.903081,0.624738,0.274938,0.00340402,0
2.1,5,0.83046,0.900842,0.624727,0.276188,-7.31579e-05,0
2.11,5,0.829866,0.907561,0.625431,0.277439,0.00469126,0
2.12,5,0.836471,0.904803,0.62552,0.27869,0.000593497,0
2.13,5,0.830909,0.897864,0.624529,0.279939,-0.0066044,0
2.14,5,0.827727,0.912115,0.625364,0.281189,0.00556193,0
2.15,5,0.825614,0.911464,0.625841,0.282441,0.00318171,0
2.16,5,0.827747,0.911964,0.626158,0.283693,0.00211279,0
2.17,5,0.828146,0.90865,0.625838,0.284945,-0.00213266,0
2.18,5,0.829502,0.911575,0.625778,0.286197,-0.000399468,0
2.19,5,0.827527,0.911667,0.625575,0.287448,-0.00135522,0
2.2,5,0.825947,0.916545,0.625871,0.2887,0.00197446,0
2.21,5,0.827925,0.91764,0.626108,0.289952,0.00157991,0
2.22,5,0.828146,0.915037,0.625811,0.291203,-0.00197799,0
2.23,5,0.838974,0.918013,0.625778,0.292455,-0.000220501,0
2.24,5,0.836432,0.907029,0.624154,0.293703,-0.0108283,0
2.25,5,0.824438,0.92203,0.624535,0.294952,0.0025423,0
2.26,5,0.832338,0.934533,0.626334,0.296205,0.0119934,0
2.27,5,0.838081,0.914705,0.625149,0.297455,-0.00790004,0
2.28,5,0.846721,0.917249,0.624288,0.298704,-0.00574278,0
2.29,5,0.844337,0.914301,0.622992,0.29995,-0.00864024,0
2.3,5,0.846803,0.92693,0.623349,0.301197,0.00238436,0
2.31,5,0.850671,0.922956,0.62298,0.302443,-0.00246582,0
2.32,5,0.845185,0.922218,0.622399,0.303687,-0.00386855,0
2.33,5,0.84466,0.933642,0.623222,0.304934,0.00548621,0
2.34,5,0.8374,0.930007,0.623301,0.30618,0.000525486,0
2.35,5,0.840969,0.939078,0.62439,0.307429,0.0072594,0
2.36,5,0.850655,0.928963,0.623855,0.308677,-0.00356843,0
2.37,5,0.855538,0.922637,0.622402,0.309922,-0.00968618,0
2.38,5,0.854999,0.927951,0.621669,0.311165,-0.00488349,0
2.39,5,0.849028,0.934698,0.62175,0.312408,0.000539426,0
2.4,5,0.859827,0.942271,0.622646,0.313654,0.00597117,0
2.41,5,0.857092,0.925123,0.621026,0.314896,-0.0107991,0
2.42,5,0.862949,0.94031,0.621436,0.316139,0.00273482,0
2.43,5,0.860748,0.932081,0.620558,0.31738,-0.00585693,0
2.44,5,0.865987,0.94171,0.620888,0.318622,0.00220046,0
2.45,5,0.869029,0.934725,0.620102,0.319862,-0.00523869,0
2.46,5,0.871311,0.937705,0.619646,0.321101,-0.00304153,0
2.47,5,0.881114,0.939361,0.619303,0.32234,-0.00228193,0
2.48,5,0.888626,0.931605,0.617833,0.323575,-0.00980342,0
2.49,5,0.894515,0.934003,0.616706,0.324809,-0.00751165,0
2.5,5,0.88803,0.935974,0.615823,0.32604,-0.00588891,0
2.51,5,0.894215,0.950554,0.616795,0.327274,0.0064844,0
2.52,5,0.882601,0.938188,0.615868,0.328506,-0.00618516,0
2.53,5,0.885782,0.958965,0.61761,0.329741,0.0116142,0
2.54,5,0.886427,0.944927,0.617133,0.330975,-0.00318057,0
2.55,5,0.893187,0.9486,0.617036,0.332209,-0.000645598,0
2.56,5,0.88971,0.942704,0.616022,0.333441,-0.00675959,0
2.57,5,0.884948,0.954694,0.616543,0.334674,0.00347649,0
2.58,5,0.882482,0.957929,0.617258,0.335909,0.00476242,0
2.59,5,0.885701,0.957238,0.617628,0.337144,0.00246645,0
2.6,5,0.888068,0.952304,0.617145,0.338378,-0.00321932,0
2.61,5,0.88895,0.954035,0.61679,0.339612,-0.00236723,0
2.62,5,0.899221,0.956621,0.616657,0.340845,-0.000881867,0
2.63,5,0.900641,0.946921,0.615117,0.342076,-0.0102711,0
2.64,5,0.903002,0.956789,0.614904,0.343305,-0.00142028,0
2.65,5,0.910155,0.956723,0.61455,0.344535,-0.00236109,0
2.66,5,0.906218,0.952086,0.613477,0.345761,-0.00715268,0
2.67,5,0.912695,0.964995,0.614067,0.34699,0.00393764,0
2.68,5,0.903853,0.954834,0.613096,0.348216,-0.00647795,0
2.69,5,0.903095,0.97271,0.614422,0.349445,0.00884286,0
2.7,5,0.906218,0.965967,0.614536,0.350674,0.000757322,0
2.71,5,0.911476,0.962847,0.614067,0.351902,-0.00312245,0
2.72,5,0.913311,0.961149,0.613279,0.353128,-0.00525807,0
2.73,5,0.91465,0.965523,0.613003,0.354354,-0.00183526,0
2.74,5,0.914125,0.967044,0.612803,0.35558,-0.00133874,0
2.75,5,0.91862,0.970211,0.612881,0.356806,0.000524313,0
2.76,5,0.919118,0.965743,0.612207,0.35803,-0.00449432,0
2.77,5,0.925567,0.970888,0.612132,0.359254,-0.000498419,0
2.78,5,0.922151,0.965193,0.611165,0.360477,-0.00644852,0
2.79,5,0.926419,0.976793,0.611677,0.3617,0.00341549,0
2.8,5,0.921071,0.969692,0.611037,0.362922,-0.00426775,0
2.81,5,0.920407,0.981333,0.611839,0.364146,0.00534777,0
