Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
10,5,4.65778,4.73776,0.821336,3.89398,0.0224513,0
10.05,5,4.66171,4.70139,0.811889,3.90209,-0.0125957,0
10.1,5,4.65986,4.73254,0.816341,3.91026,0.00593631,0
10.15,5,4.66915,4.68252,0.794046,3.9182,-0.029726,0
10.2,5,4.66825,4.72525,0.79621,3.92616,0.00288437,0
10.25,5,4.67994,4.66456,0.768143,3.93384,-0.0374225,0
10.3,5,4.67065,4.76189,0.79043,3.94175,0.0297159,0
10.35,5,4.67467,4.71749,0.780789,3.94955,-0.0128548,0
10.4,5,4.67832,4.71763,0.772033,3.95727,-0.0116741,0
10.45,5,4.68083,4.72293,0.766016,3.96493,-0.0080224,0
10.5,5,4.69459,4.66119,0.732979,3.97226,-0.0440497,0
10.55,5,4.69938,4.68566,0.721495,3.97948,-0.0153119,0
10.6,5,4.69289,4.74466,0.737059,3.98685,0.020752,0
10.65,5,4.6882,4.75769,0.748329,3.99433,0.0150259,0
10.7,5,4.68772,4.75282,0.749468,4.00183,0.00151938,0
10.75,5,4.69953,4.69241,0.721139,4.00904,-0.0377721,0
10.8,5,4.69653,4.75424,0.728331,4.01632,0.00958915,0
10.85,5,4.70649,4.6959,0.704418,4.02337,-0.0318838,0
10.9,5,4.70485,4.74404,0.708349,4.03045,0.0052418,0
10.95,5,4.7087,4.72428,0.699131,4.03744,-0.012291,0
11,5,4.71664,4.69887,0.680059,4.04424,-0.0254301,0
11.05,5,4.71823,4.72215,0.676237,4.051,-0.00509484,0
11.1,5,4.72506,4.6956,0.659851,4.0576,-0.0218491,0
11.15,5,4.72104,4.74667,0.669503,4.0643,0.0128705,0
11.2,5,4.73219,4.6778,0.642748,4.07073,-0.0356737,0
11.25,5,4.72674,4.75054,0.655823,4.07728,0.0174329,0
11.3,5,4.72883,4.7279,0.650804,4.08379,-0.00669125,0
11.35,5,4.73391,4.71254,0.638617,4.09018,-0.0162501,0
11.4,5,4.73185,4.74674,0.643551,4.09661,0.00657923,0
11.45,5,4.73758,4.71442,0.629819,4.10291,-0.0183096,0
